"","ranking","codigo_producto","nombre_producto","similitud"
"1",1,"05100802","QUESO RALLADO MOZZARELLA",0.83081661632064
"2",2,"09211010","DECORACIONES",0.742166697526099
"3",3,"08390520","MEXICANA MASAS",0.713912155267821
"4",4,"14351010","OBLEAS Y EMPANADILLAS",0.713670389862219
"5",5,"10281305","OTRAS VARIEDADES PICATOSTES",0.6989903853782
"6",6,"10200315","A CUCHARADAS",0.697130327099445
"7",7,"08390505","MEXICANA APERITIVOS",0.696863101317976
"8",8,"10281020","APERITIVOS GRISSINIS",0.688713752007116
"9",9,"05100301","QUESOS INFANTILES BOLA",0.679334206450644
"10",10,"10261007","WRAPS Y PITTAS",0.679001591912613
"11",12,"05100105","QUESO FRESCO MOZZARELLA",0.677682165455702
"12",13,"05100803","QUESO RALLADO MEZCLAS",0.663648890084129
"13",14,"10281110","PANES ESPECIAL ACOMPAÑAMIENTO",0.662100441013123
"14",15,"10220720","CEREAL INFANTIL SIN CHOCOLATE",0.65270006359727
"15",16,"05100302","QUESOS INFANTILES OTROS",0.647061176749876
"16",17,"13875310","PRESERVATIVOS SENSITIVOS",0.646099951075476
"17",18,"04032110","QUESO ITALIANO PORCION",0.642302635801136
"18",19,"05100804","QUESO RALLADO POLVO",0.641671573234131
"19",20,"10120410","CREMAS CACAO CHOCO HASTA 400GR",0.637246301962015
