"Cliente","Producto_Recomendado","Nombre_Producto","Frecuencia_Historica","Productos_en_Cesta","Dia_Ultima_Compra"
"b51353fcf07cb61280eda45e33679871","11080602","CERVEZAS EXTRA LATA",4,33,"25/11/2022"
"53ffb83e85fd51cf1ec2fdef3c78b4fd","01012910","KIWIS AMARILLOS",2,32,"03/11/2022"
"a57938025d714b65612bf2cfde12136d","08100913","TOMATE FRITO OLIVA",2,19,"26/11/2022"
"8b9aa623b654a8be21b316a5fdf41007","01028010","TOMATES CHERRIES",2,16,"18/11/2022"
"26f424b3bba6aaf97952ac599ed39f75","01012530","MANZANAS DULCES GOLDEN",1,34,"18/11/2022"
"02ff5edaa057b63ea0a0010c5402205c","05030101","LECHE UHT ENTERA",0,53,"17/10/2022"
"25d259d32a2bc254343715f2e347c518","05030101","LECHE UHT ENTERA",0,21,"23/11/2022"
"32cc820ac27ff143c3ea976f3fe69d34","01012310","PLATANOS DE CANARIAS",0,27,"12/11/2022"
"af30d404e282749ccd5f5ad0c8e834c7","05030101","LECHE UHT ENTERA",0,26,"01/10/2022"
"e27ceb0a1576648212c4325fdf7d8002","01012310","PLATANOS DE CANARIAS",0,42,"29/10/2022"
