"","id_cliente_enc","total_productos","productos_distintos","dias_activos","compras_por_semana","compras_entre_semana","compras_fin_de_semana","kmeans_cluster","hc_cluster"
"1","0000595d5253705a2bf0c6f05ccbb800",101,63,63,11.2222222222222,72,29,2,1
"2","000420e88d1d6032d2a9957576177fee",29,29,0,29,0,29,1,2
"3","0004d0d0b37a6bb1624bfa3981eb159f",55,55,0,55,0,55,1,2
"4","00054553b480893c05f2e044625074ae",18,18,0,18,18,0,1,2
"5","0006ef2f1c591a406fe01da160466230",70,42,9,54.4444444444444,46,24,1,2
"6","0007144f84dec495b2efa9c44fffaae2",2,1,1,14,2,0,1,2
"7","000be44cf2378041e456e9ef21076f32",23,23,0,23,23,0,1,2
"8","000c6c7893fe5d999f9bf2a33094e73e",20,20,0,20,20,0,1,2
"9","000c75b30bb0b237ec817d203e88a54f",44,38,77,4,44,0,2,1
"10","00143712a013f73eef3a8ec1e52b9ef5",26,24,32,5.6875,8,18,2,1
"11","00196f62ac27cc336d2dfa40d73d17e2",172,120,58,20.7586206896552,120,52,3,3
"12","001ee0217c89aff2b727d7faa2447679",27,27,0,27,27,0,1,2
"13","001f016e041f01d40fc8fea87466648e",21,16,21,7,0,21,2,1
"14","002867cbb9f0de2b4678b73bc8d8b3d9",59,51,48,8.60416666666667,45,14,2,1
"15","0029751b7fcfb4dd553d7155370c0198",28,9,55,3.56363636363636,13,15,2,1
"16","002a19892cb891665ec0b77d3730f237",4,4,0,4,4,0,1,2
"17","002b38d6c352e7cbeb439b4e85fb349d",26,26,0,26,26,0,1,2
"18","002b87a72cb020a5d6f5c2008f8b7d36",8,8,0,8,8,0,1,2
"19","002c67b522d2ebb1c89f6fcf18ae7a3f",38,38,0,38,38,0,1,2
"20","002fcad093ac3fa5988b59e53788fd61",10,10,0,10,10,0,1,2
"21","00314f3d0a9d4f4109f66c1206c211a7",123,79,65,13.2461538461538,99,24,3,1
"22","00322c1d439808b60d1e5717956afa8e",27,27,0,27,0,27,1,2
"23","00339bd0db8a3a3070c85e793ca7dd43",41,41,0,41,0,41,1,2
"24","0033f6b64fd807c3ddde4a5b5e3b5f9b",188,109,68,19.3529411764706,151,37,3,3
"25","00341ca1bf2dd3066c42f50685697f31",119,81,49,17,73,46,3,3
"26","00348337ef9c4396c312d06f7cadfbd6",22,22,0,22,22,0,1,2
"27","0036c5bab60f98a6b50e04e81575b9f9",19,19,0,19,19,0,1,2
"28","00374cb7f0170153c519747b4062201b",100,89,40,17.5,100,0,3,3
"29","003bf37f219e80db497e4d15d0e9bb7b",34,34,0,34,34,0,1,2
"30","003d3ebe117cb786a4d73fea8d17319b",148,106,30,34.5333333333333,148,0,3,3
"31","003fa3344cb647a6af3ab9c765e86ad0",118,55,54,15.2962962962963,118,0,3,3
"32","00430a0ba38f0744700f811a45957ff8",93,58,64,10.171875,93,0,2,3
"33","0044a6a27228c3f3022ccda30ebad8a1",20,20,0,20,0,20,1,2
"34","0044a91daa38ca4f9677179baf1e6324",12,12,0,12,0,12,1,2
"35","0045485fae7394dbd5242684564113b2",50,28,67,5.22388059701493,50,0,2,1
"36","00481cf3e91879592a2b8c57eee4f7db",113,84,20,39.55,113,0,3,3
"37","004c295640c8d688391908667270aa31",116,59,88,9.22727272727273,100,16,3,1
"38","004c59dafb02a53e4e2ca68b66053df4",26,26,0,26,26,0,1,2
"39","004c726a1f31128ad5b9f70b9f6f000d",43,43,0,43,43,0,1,2
"40","0050903400103984041efdc280d8da21",93,54,63,10.3333333333333,93,0,2,3
"41","0051bc212b8aa6fda30ecd3f157a08e9",4,4,0,4,4,0,1,2
"42","0051cf4b346d004ad485f15f3948e0a7",18,18,0,18,18,0,1,2
"43","00536f672ef77ce43cc3509ca672e0cd",22,22,0,22,22,0,1,2
"44","00537326bca29d951445cd364b8b5151",72,48,86,5.86046511627907,37,35,2,1
"45","005489dd6890d9947744045d5cdaf630",51,51,0,51,51,0,1,2
"46","0054b10cdd4c0b6272caa58ac0906931",12,12,0,12,12,0,1,2
"47","0055706d5150d3ef95af9023def53033",49,36,42,8.16666666666667,49,0,2,1
"48","005657f891fe26a59ff7c86ecdb3540f",53,43,67,5.53731343283582,53,0,2,1
"49","00565b7300fe472b8ee35c89596b413e",120,87,77,10.9090909090909,120,0,3,3
"50","00581eee4acd753e70eea3bd02139b54",113,69,76,10.4078947368421,113,0,3,3
"51","005a76a5b25a5903ba09f08e41dc2258",33,33,0,33,33,0,1,2
"52","005e6021f9fdda5e1c3a0225cf7102d2",89,65,70,8.9,89,0,2,3
"53","0060a6437f6889b40c6e28330f5022ba",41,41,0,41,41,0,1,2
"54","006170c4fb70220e499415f83a59ef23",94,66,43,15.3023255813953,94,0,2,3
"55","00621b050938aa94253b4907ca3a423c",72,55,40,12.6,72,0,2,3
"56","0068bed782963cd2778a56520a464311",61,37,83,5.14457831325301,45,16,2,1
"57","0068d9eba21504a810eb95043e1a8183",54,54,0,54,54,0,1,2
"58","006943e45e018b299391c85d64609b6e",51,51,0,51,51,0,1,2
"59","006b4dccb949a465d4226584f7f0a7c9",12,12,0,12,12,0,1,2
"60","006d88722f2a0c3b42368a165d918124",55,46,42,9.16666666666667,55,0,2,1
"61","006e1d7694bc4d644adb57585679058f",22,22,0,22,0,22,1,2
"62","00723ea93efad2f4c7b36491a50662b4",22,22,0,22,0,22,1,2
"63","0074424721dab005b017c33a20d42ca0",27,27,0,27,27,0,1,2
"64","0079984b08316a6c59ffc60f2bf2f0fe",146,98,49,20.8571428571429,146,0,3,3
"65","007a7a53e4dbf2be926e1674bd3a471d",12,7,79,1.06329113924051,12,0,2,1
"66","007b62b4c2649d618fcc5fd8413bfcf2",215,119,75,20.0666666666667,208,7,3,3
"67","007bf88e60d8c07bdda696c9ea30fb05",19,19,0,19,19,0,1,2
"68","007e107c419d56f77ee4184799ca8681",50,40,37,9.45945945945946,50,0,2,1
"69","0080422d8ae594ea199ab00659f692cd",151,76,75,14.0933333333333,107,44,3,3
"70","008150ec8b155f32934aeacc578c6f9e",19,19,0,19,19,0,1,2
"71","0081c4cd8a89ed39c1951057e862dfc8",191,90,54,24.7592592592593,191,0,3,3
"72","008274042dc16dba5eaba4eceb7f1313",240,102,77,21.8181818181818,198,42,3,3
"73","00836b98935cc16d3b312c049c57253a",30,25,42,5,0,30,2,1
"74","0084b04f862edbfe9f47e7509c3ecc46",32,32,0,32,32,0,1,2
"75","008627714a75a38c25921ddd208b9d27",28,27,5,39.2,28,0,1,2
"76","0086ba87cb67c80a1e565542f135ea99",22,22,0,22,0,22,1,2
"77","0087cac244a1ce322096a477364f390d",106,82,75,9.89333333333333,106,0,3,3
"78","008a3ed7f5c452b35d7e2f89531b4e40",115,77,35,23,115,0,3,3
"79","008b303d0d819fc99da25c39d42b5e04",31,31,0,31,31,0,1,2
"80","008c694c2477e1a38083c6253f573756",114,78,49,16.2857142857143,114,0,3,3
"81","008eae973088bfdbfb468ffc37d6582d",135,86,27,35,135,0,3,3
"82","00958a22ef3693d3d6934de502ed66a4",212,135,66,22.4848484848485,159,53,3,3
"83","00966047b728d4fe20b60d0d2d25cda5",1,1,0,1,0,1,1,2
