"cluster","neighbor","sil_width"
1,3,0.0765938966928657
2,1,0.271614901621563
2,1,0.147070455671853
2,1,0.45114501085526
2,1,0.261478437128547
2,1,0.348296409959302
2,1,0.509591798766497
2,1,0.478711116563059
1,3,0.441717936616405
1,2,0.254244990125755
3,1,0.263408547539809
2,1,0.530331020021723
1,2,0.100489294070305
1,2,0.44863865653689
1,2,0.351032180827074
2,1,0.18696884468091
2,1,0.52716724876013
2,1,0.263397020594303
2,1,0.492590501830697
2,1,0.303712864000295
1,3,-0.229025316885506
2,1,0.280218342687479
2,1,0.20868217566365
3,1,0.362877504192348
3,1,0.0762701127393727
2,1,0.500779110748341
2,1,0.465641813105702
3,1,0.259849973162795
2,1,0.51833273089905
3,1,0.356609079198963
3,1,0.227161616567765
3,1,0.0516235893554166
2,1,0.295024972586873
2,1,0.263054097362689
1,2,0.46796510899463
3,2,0.142184875007737
1,3,-0.136326395027567
2,1,0.52716724876013
2,1,0.451581865074578
3,1,0.00959758738064885
2,1,0.18696884468091
2,1,0.45114501085526
2,1,0.500779110748341
1,3,0.257112089711061
2,1,0.379899874923008
2,1,0.34385109546168
1,2,0.409587484769407
1,3,0.43084036985157
3,1,0.377982140495091
3,1,0.290567793630289
2,1,0.523091959552908
3,1,0.0750554465965013
2,1,0.468743872226552
3,1,0.0974210420122375
3,1,-0.262145700715697
1,3,0.392171590059558
2,1,0.353790599081642
2,1,0.379899874923008
2,1,0.34385109546168
1,2,0.406872301166146
2,1,0.293934336328259
2,1,0.293934336328259
2,1,0.530331020021723
3,1,0.441607293666251
1,2,0.347977596369858
3,1,0.424286625675388
2,1,0.465641813105702
1,2,0.37004905029613
3,1,0.207251077578426
2,1,0.465641813105702
3,1,0.430485112427392
3,1,0.336758327450686
1,2,0.278130434432819
2,1,0.527049650908512
2,1,0.489917911485871
2,1,0.293934336328259
3,1,0.300960971054511
3,1,0.28439921461751
2,1,0.530076146943867
3,1,0.329870964466734
3,1,0.306124400922005
3,1,0.293714296710986
2,1,0.133119365943745
3,1,0.301466403321835
1,3,0.0113577410711917
3,1,0.348671556535272
2,1,0.18696884468091
1,2,0.412504769328561
1,3,0.446202915828926
3,1,0.457491421812639
2,1,0.263397020594303
2,1,0.418783025334085
3,1,0.211316012293439
2,1,0.509591798766497
2,1,0.292304825396998
2,1,0.435404235098266
2,1,0.484922787612725
1,3,0.299777885955881
1,2,0.156437615634905
1,3,0.339992700881615
2,1,0.224109346408695
3,1,0.435236824843693
1,2,-0.137671255492594
2,1,0.506642751071979
2,1,0.224601712345989
3,1,0.136875584365444
3,1,0.42533290450475
3,1,0.402999920332911
2,1,0.32385249833664
1,3,0.369635485126516
2,1,0.506642751071979
1,2,-0.122465207079838
2,1,0.532156924152627
2,1,0.17415609907173
3,1,-0.0972541665303735
1,2,0.206021224755882
1,2,0.157715111977215
1,2,0.460422952729673
2,1,0.415845019270407
2,1,0.117036797657674
2,1,0.465641813105702
3,1,0.447667235973483
3,1,0.420561307661101
2,1,0.476963043146139
1,2,0.458689662193338
1,2,-0.112732218009046
2,1,0.516823986883981
1,3,0.458903641281315
3,1,-0.100272143096022
2,1,0.51833273089905
1,3,0.242506565117761
2,1,0.283526649711787
1,2,0.187189697373156
1,2,0.248202387838375
2,1,0.509591798766497
2,1,0.509591798766497
3,1,-0.118920284338713
1,3,0.102652953661928
1,3,0.262524708409639
2,1,0.290082380538507
1,2,0.316319471318859
2,1,0.18696884468091
2,1,0.401249512540434
1,2,0.0913067214766989
1,2,-0.100755106797966
3,1,0.300299667253437
1,3,0.368794100836986
1,2,0.273354683330342
1,3,0.205821757643661
2,1,0.490434419865871
1,2,0.454258460255543
2,1,0.512806155932414
2,1,0.532156924152627
2,1,0.135264023802812
1,2,0.427483896694329
2,1,0.151927869446104
1,2,0.434907935910829
2,1,0.185021876641952
2,1,0.388779350745312
2,1,0.52716724876013
1,2,0.353833483675859
3,1,-0.127885181432434
2,1,0.527049650908512
3,1,-0.243109494853584
3,1,0.361664745387371
2,1,0.433832169774984
2,1,0.492590501830697
2,1,0.293934336328259
2,1,0.499896134717532
3,1,0.31151205034319
2,1,0.530331020021723
1,3,0.412634890650623
2,1,0.38274480971059
2,1,0.465641813105702
1,2,0.46591023632024
3,1,0.451771511826777
2,1,0.363539250443897
2,1,0.516823986883981
1,3,0.144640631634196
2,1,0.175075751883805
1,3,-0.152981621180515
1,3,0.224461009223796
2,1,0.465641813105702
2,1,0.401249512540434
1,2,0.328172787298115
1,2,0.458118987816462
3,1,-0.0415508196892976
1,3,0.468761449272738
2,1,0.484922787612725
2,1,0.294858847545576
2,1,0.286766001180783
2,1,0.45114501085526
2,1,0.271614901621563
3,1,0.320482034877111
1,3,0.333564217381753
3,1,0.315664722691357
2,1,0.432653699395979
3,1,-0.281662619708962
3,1,0.204177192282474
2,1,0.530076146943867
2,1,0.478711116563059
1,3,0.404369071179896
1,3,0.335706985860035
2,1,0.256889352079288
1,3,-0.263606380724107
1,3,-0.0756898404684798
3,1,0.392195971192079
1,2,0.133498177253163
2,1,0.32385249833664
2,1,0.500779110748341
1,2,0.354050653220778
3,1,0.423124677081493
2,1,0.337021388696851
2,1,0.509591798766497
3,1,-0.155383814102186
2,1,0.263054097362689
2,1,0.52716724876013
3,1,0.0577491730578986
3,1,0.429379892495898
3,1,0.144256533096118
2,1,0.418783025334085
1,2,0.353082349248739
3,1,0.38058645525797
1,2,-0.145119245522851
1,2,0.446300726394721
1,2,0.24121465080838
2,1,0.530331020021723
3,1,0.240725851235015
3,1,0.463776184820666
2,1,0.254671509561054
3,1,0.00709823748833836
3,1,0.449219829385866
2,1,0.397773329600698
1,3,0.199041709685913
1,2,0.372348563552482
1,2,0.274780182151322
3,1,0.235414712864584
