"cluster","neighbor","sil_width"
2,3,0.167363757857906
1,2,0.325611529005254
1,2,0.168754143183059
1,2,0.499665348382281
1,2,0.271583291707798
1,2,0.409616406424344
1,2,0.544727883682668
1,2,0.521626059873923
2,1,0.486043496002866
2,1,0.149164108438418
3,2,0.310371099596819
1,2,0.556613518701924
2,1,-0.0239284697554261
2,1,0.448774248433603
2,1,0.275922531298939
1,2,0.267539356160123
1,2,0.555510482122107
1,2,0.338196842972442
1,2,0.501964003971558
1,2,0.374237069386471
3,2,0.172000466310707
1,2,0.337745647213797
1,2,0.244339763537691
3,2,0.4201863641761
3,2,0.0753482059368506
1,2,0.538404677676516
1,2,0.511319066862224
3,2,0.0904195834147732
1,2,0.532849672576404
3,2,0.363550709092807
3,2,-0.00428655341594982
2,3,0.290410248861696
1,2,0.365274571689304
1,2,0.345749181761318
2,1,0.474211044344895
3,1,0.139911884960786
3,2,-0.0233780605477935
1,2,0.555510482122107
1,2,0.455766888003361
2,3,0.319075746738025
1,2,0.267539356160123
1,2,0.499665348382281
1,2,0.538404677676516
2,3,0.313135411341427
1,2,0.378258177058756
1,2,0.409385065326515
2,1,0.396569569920791
2,1,0.514215454956142
3,2,0.269105749773279
3,2,0.0772951154602972
1,2,0.539052707359646
2,3,0.263255073125266
1,2,0.474846445710225
2,3,0.205297279962939
2,1,0.410799497787568
2,1,0.478644102908772
1,2,0.350598337067589
1,2,0.378258177058756
1,2,0.409385065326515
2,1,0.428680417557608
1,2,0.36056446366934
1,2,0.36056446366934
1,2,0.556613518701924
3,2,0.437152021092676
2,1,0.307944785307025
3,2,0.476806663809722
1,2,0.511319066862224
2,1,0.358288481827023
3,2,0.22587681601861
1,2,0.511319066862224
3,2,0.464500172379681
3,2,0.395970414478312
2,1,0.199581668304502
1,2,0.544517713976116
1,2,0.503595471145083
1,2,0.36056446366934
3,2,0.10567987594507
3,2,0.162877254390359
1,2,0.549122707980193
3,2,0.167253250695206
3,2,0.282640105171554
3,2,0.348358001847722
1,2,0.216938266680796
3,2,0.330435719214523
2,3,0.0934529299803497
3,2,0.404061626403504
1,2,0.267539356160123
2,1,0.379804799943099
2,1,0.502891806152585
3,2,0.469003462567171
1,2,0.338196842972442
1,2,0.473078287382099
3,2,-0.0561284716556201
1,2,0.544727883682668
1,2,0.357107851312306
1,2,0.486816926034295
1,2,0.493155491060233
2,1,0.515692106247832
2,1,0.210972268440215
2,3,0.490932374061142
1,2,0.310146851007056
3,2,0.479527287929025
1,2,0.22632124955308
1,2,0.518464849746039
1,2,0.264302897021156
3,2,0.147746905689365
3,2,0.406443407464961
3,2,0.324492371604158
1,2,0.391962206403407
2,3,0.487819854424987
1,2,0.518464849746039
1,2,0.226215047403976
1,2,0.556483392642506
1,2,0.260285482736987
2,3,0.401669586564441
2,1,0.21608247711731
2,1,0.100774149871831
2,1,0.442886529427792
1,2,0.416773513399025
1,2,0.106010593638391
1,2,0.511319066862224
3,2,0.477256151202248
3,2,0.47656428556591
1,2,0.484105018311193
2,1,0.44313830671205
1,2,0.101214539532884
1,2,0.549594028845674
2,1,0.492461127429853
2,3,0.404309353702674
1,2,0.532849672576404
2,3,0.418225925700929
1,2,0.356286259478183
2,1,0.135786614177433
2,1,0.156799380969405
1,2,0.544727883682668
1,2,0.544727883682668
2,3,0.380045922932565
2,1,0.344677163182298
2,3,0.408522384948845
1,2,0.353051176750858
2,1,0.249897622357065
1,2,0.267539356160123
1,2,0.458415060265011
2,1,-0.00107397609030278
1,2,0.157729000260398
3,2,0.352942531244671
2,1,0.454635836344382
2,1,0.314074892142518
2,1,0.333470668192001
1,2,0.530661862904801
2,1,0.415427673741915
1,2,0.525945695225947
1,2,0.556483392642506
1,2,0.217702406550789
2,1,0.461802414460758
1,2,0.233957336644182
2,1,0.404834581230861
1,2,0.19563011452976
1,2,0.387724466974771
1,2,0.555510482122107
2,1,0.316907104850731
2,3,0.412790676171137
1,2,0.544517713976116
2,3,0.470727301552649
3,2,0.227921740554653
1,2,0.436298006318002
1,2,0.501964003971558
1,2,0.36056446366934
1,2,0.51046183815661
3,2,0.350025260161474
1,2,0.556613518701924
2,1,0.421624667598646
1,2,0.442770352693611
1,2,0.511319066862224
2,1,0.454257462234598
3,2,0.469912358682453
1,2,0.426367555740559
1,2,0.549594028845674
2,3,0.219202996477619
1,2,0.202776106364313
3,2,-0.0209747444743062
2,3,0.331184384139487
1,2,0.511319066862224
1,2,0.458415060265011
2,1,0.342008433604864
2,1,0.48380269207574
2,3,0.081850140944416
2,1,0.492035238362693
1,2,0.493155491060233
1,2,0.363307824477805
1,2,0.363867246395051
1,2,0.499665348382281
1,2,0.325611529005254
3,2,0.130929784610524
2,1,0.316001930785444
3,2,0.292431021270023
1,2,0.476441808311362
2,3,0.466366585380414
3,2,0.225150302940431
1,2,0.549122707980193
1,2,0.521626059873923
2,1,0.483043332200458
2,3,0.448977725356302
1,2,0.305790391986582
3,2,0.239921691082822
3,2,0.0100927145796956
3,2,0.411713325581004
2,1,0.0802003084743717
1,2,0.391962206403407
1,2,0.538404677676516
2,1,0.283307921797326
3,2,0.468478769887525
1,2,0.332950218345247
1,2,0.544727883682668
2,3,0.178887668327076
1,2,0.345749181761318
1,2,0.555510482122107
2,3,0.288348266669302
3,2,0.399197026119459
2,3,0.178825522156249
1,2,0.473078287382099
2,1,0.305957015232792
3,2,0.300945171444535
1,2,0.176373929093586
2,1,0.445079532569184
2,1,0.205997385934279
1,2,0.556613518701924
3,2,0.273988098543846
3,2,0.495801938047071
1,2,0.338452111899819
2,3,0.070512582714007
3,2,0.463404555907301
1,2,0.397339320759612
2,3,0.383003294105168
2,1,0.327865104910746
2,1,0.18773845495129
3,2,0.274190924239875
1,2,0.518464849746039
1,2,0.267539356160123
1,2,0.486816926034295
1,2,0.465382888683006
1,2,0.374237069386471
1,2,0.539052707359646
1,2,0.544727883682668
1,2,0.363307824477805
1,2,0.525945695225947
1,2,0.278096817670523
1,2,0.202776106364313
1,2,0.338196842972442
3,2,-0.0561263406586634
1,2,0.556483392642506
1,2,0.538404677676516
1,2,0.28486153174254
2,3,0.180604568410082
1,2,0.338196842972442
3,2,0.16695871694716
1,2,0.549122707980193
1,2,0.555223475846625
2,3,0.421564881324249
1,2,0.271161978113616
3,1,-0.0161624570517919
1,2,0.530661862904801
2,1,0.0560955278988035
1,2,0.28486153174254
3,2,-0.0214665284524767
1,2,0.0801265526269288
2,3,0.353517016496154
2,1,0.187843930642718
1,2,0.374237069386471
1,2,0.426526963594928
1,2,0.426367555740559
1,2,0.292019218042243
1,2,0.539052707359646
3,2,0.457478246321547
1,2,0.511319066862224
2,1,0.213989399211678
2,1,0.374957218422518
2,1,0.361089172532643
1,2,0.338196842972442
1,2,0.539052707359646
1,2,0.284532453325166
1,2,0.366533618418073
2,1,0.397326751237297
2,1,0.520492317520667
1,2,0.555223475846625
1,2,0.518464849746039
2,3,0.103627489105391
2,3,0.304439328882062
1,2,0.13473076409192
3,2,0.413666205907313
2,1,0.467360131949424
1,2,0.409385065326515
3,2,0.00486712005224855
3,1,0.0135315219957694
3,2,0.119079518756518
1,2,0.353051176750858
3,2,0.455900048475845
1,2,0.267155266527374
1,2,0.417057381620995
2,3,0.133646114819408
1,2,0.473078287382099
2,1,0.21031935258051
2,1,0.251023446231361
1,2,0.231705289491796
1,2,0.365706847695787
2,3,0.404229691783369
1,2,0.552725174210325
1,2,0.465382888683006
1,2,0.486816926034295
2,1,0.186613060419892
1,2,0.409385065326515
1,2,0.458415060265011
3,2,0.455244754719032
1,2,0.442770352693611
2,3,0.364820116359559
3,2,0.0118942910848383
1,2,0.539052707359646
3,2,0.469325165759569
2,1,0.509517226695072
3,2,0.459679077329088
1,2,0.137877801661608
1,2,0.538404677676516
1,2,0.209843262660095
3,2,0.478060216223233
1,2,0.0874444467842122
1,2,0.442770352693611
1,2,0.552725174210325
1,2,0.499665348382281
1,2,0.521626059873923
2,1,0.27722828074874
3,2,0.0380839773390648
1,2,0.300816070576106
1,2,0.51046183815661
1,2,0.549122707980193
1,2,0.271161978113616
1,2,0.521626059873923
2,3,0.277911580493946
1,2,0.319172941606399
1,2,0.544727883682668
1,2,0.556483392642506
1,2,0.473078287382099
2,3,0.483428264725117
1,2,0.445306591724941
1,2,0.525945695225947
3,2,0.0527856913419215
3,2,0.289019693352383
1,2,0.445370252409937
2,3,0.464888038184186
2,1,0.287590755758274
2,1,0.116937143758123
1,2,0.521626059873923
2,1,0.327637945010321
2,3,0.310431574288417
2,3,0.168262767371936
2,3,0.262015933073054
1,2,0.356286259478183
1,2,0.320254897665403
1,2,0.34329076374366
1,2,0.262128005862418
2,1,0.430565317144435
1,2,0.521626059873923
3,2,0.210181650189075
1,2,0.368907662206589
1,2,0.292019218042243
1,2,0.511319066862224
3,2,0.129897568721058
2,3,0.24265937160181
1,2,0.35970148456391
1,2,0.556613518701924
3,2,0.446568114010262
3,2,0.453157647519227
1,2,0.501964003971558
2,1,0.369321161604594
2,1,0.483279347914624
1,2,0.499665348382281
1,2,0.250555020234213
1,2,0.337745647213797
3,2,0.459265852011414
2,3,0.437857005681552
3,2,0.178710570456118
1,2,0.310146851007056
1,2,0.455766888003361
3,2,0.405622463586548
1,2,0.538404677676516
3,2,0.203338780463177
3,2,0.276135835585285
3,2,0.489512111166081
1,2,0.442770352693611
2,3,0.226654486143224
3,2,0.197913609800368
3,2,0.0744040171174181
1,2,0.532849672576404
1,2,0.436298006318002
3,2,0.0597614699200619
3,2,-0.0629620460773922
2,3,0.332448184086204
1,2,0.217702406550789
2,1,0.283038361261108
2,1,0.421114497881253
1,2,0.365706847695787
1,2,0.552725174210325
2,3,0.281044340651774
1,2,0.409385065326515
1,2,0.538404677676516
1,2,0.518464849746039
2,1,0.466850025751624
3,2,0.471979652794779
1,2,0.426367555740559
2,1,0.31911342708176
2,3,0.326150877361721
1,2,0.521626059873923
1,2,0.416773513399025
1,2,0.486816926034295
3,2,0.395328073625687
3,2,0.312754022227386
3,2,0.104833343166039
1,2,0.267539356160123
2,1,0.122893458478979
2,1,0.312899990355279
1,2,0.397339320759612
1,2,0.544727883682668
2,1,0.413598092749584
2,1,0.463749026558075
3,2,0.433595947045174
1,2,0.302436313856584
1,2,0.267539356160123
2,1,0.514708825241631
2,1,0.514236677026761
2,1,0.192865739862287
3,2,0.135543824835571
2,3,0.339211125946224
1,2,0.544727883682668
2,3,0.272297889096484
3,2,0.480024765228613
3,2,0.371811187953091
3,2,0.215853034624045
1,2,0.530661862904801
2,1,0.385976775076636
2,3,0.287625927197813
1,2,0.366365913632309
1,2,0.486816926034295
2,1,0.387815038915013
