"id_cliente_enc","recomendacion","descripcion"
"fe234baf66f020e01feb5253dfb398f0","13551535","ACCESORIOS CAB.ADULTO PINZAS"
"d85ceefcf666f2b27e3e1e1252e5a1ac","13680505","FRAGANCIAS MASCULINAS REGULAR"
"a8a16b0b76cb14783348e920a59588ed","10220701","CEREALES ADULTO FIBRA"
"1d98f84a5f074ed9c7a47515d4f5f329","13550131","UTILES CAB.ADULTO PEINE RIZOS"
"528435b91691a75f5a60c6ccf4c6294c","09150210","AYUDA CULINARIA OTROS"
"8e8315ed119c1382c4d351bbb188510e","08150709","MERM/CONFITURA DIET VARIOS"
"fe52311b246f88407a1142d891ad77ae","04200510","JAMON DE CERDO BRASEADO"
"503a6539df48964124fe026b9deb5d13","01013310","NARANJAS POSTRE"
"a809525fe25b3de695bc87e00bea215f","13875320","PRESERVATIVOS PERFORMANCE"
"ec926181c315b758d775ee64a6a8e033","08051530","PATATA TRADICIONAL GOURMET"
