"id_cliente","producto_recomendado","ranking"
"0","05200102",1
"0","11100128",2
"0","12650105",3
"0","06100107",4
"0","10200315",5
"1","12670109",1
"1","06100308",2
"1","11100315",3
"1","11103610",4
"1","10028730",5
"2","11100137",1
"2","11100128",2
"2","03070301",3
"2","04032065",4
"2","02650602",5
"3","02690515",1
"3","04080230",2
"3","08230125",3
"3","08315005",4
"3","04060302",5
"4","05041182",1
"4","02651405",2
"4","01085005",3
"4","11040501",4
"4","01085210",5
"5","10240133",1
"5","05041183",2
"5","04020230",3
"5","01085020",4
"5","01085120",5
"6","11080801",1
"6","08230125",2
"6","11040303",3
"6","05040582",4
"6","01012715",5
"7","05030415",1
"7","11040305",2
"7","01027825",3
"7","01085605",4
"7","10260605",5
"8","05030401",1
"8","11040301",2
"8","05030603",3
"8","05041185",4
"8","01085005",5
"9","01201505",1
"9","10260620",2
"9","08314035",3
"9","05040281",4
"9","03070110",5
"10","09010101",1
"10","05100802",2
"10","01201505",3
"10","05030103",4
"10","05040581",5
"11","05041187",1
"11","01201515",2
"11","09010101",3
"11","11100128",4
"11","09350509",5
"12","01085120",1
"12","05040682",2
"12","05041187",3
"12","11131510",4
"12","01085605",5
"13","01085020",1
"13","08090113",2
"13","08090135",3
"13","01012905",4
"13","08110715",5
"14","01012910",1
"14","02691020",2
"14","05030498",3
"14","05030615",4
"14","01012905",5
"15","10080409",1
"15","11040303",2
"15","11100128",3
"15","11080105",4
"15","08315005",5
"16","01201005",1
"16","01201515",2
"16","09010101",3
"16","10240133",4
"16","11080105",5
"17","01201515",1
"17","10240133",2
"17","08230125",3
"17","04060307",4
"17","11140567",5
"18","01012910",1
"18","01016710",2
"18","05041180",3
"18","11100137",4
"18","01201515",5
"19","01012310",1
"19","01012530",2
"19","01013315",3
"19","11080101",4
"19","01027205",5
"20","04201005",1
"20","05041180",2
"20","01012310",3
"20","01012905",4
"20","04200505",5
"21","02691015",1
"21","04201005",2
"21","05041180",3
"21","01012905",4
"21","04200505",5
"22","01026210",1
"22","05040183",2
"22","01012715",3
"22","01012910",4
"22","02691015",5
"23","01028005",1
"23","05200102",2
"23","10240133",3
"23","01012715",4
"23","06100101",5
"24","05040584",1
"24","05040284",2
"24","01012705",3
"24","05041187",4
"24","08190109",5
"25","02691030",1
"25","05040682",2
"25","14302501",3
"25","01012905",4
"25","01027805",5
"26","11040305",1
"26","01027825",2
"26","10260605",3
"26","01201510",4
"26","05041185",5
"27","05030415",1
"27","02651405",2
"27","08031918",3
"27","11100125",4
"27","05030603",5
"28","05040682",1
"28","01026005",2
"28","06100107",3
"28","09350509",4
"28","05100803",5
"29","01012910",1
"29","08230709",2
"29","12650103",3
"29","01201515",4
"29","04201520",5
"30","01085120",1
"30","10200709",2
"30","05040184",3
"30","11080101",4
"30","11100137",5
"31","08100903",1
"31","01016705",2
"31","01028005",3
"31","01201005",4
"31","09010315",5
"32","05040188",1
"32","10140315",2
"32","10240145",3
"32","12500521",4
"32","12771505",5
"33","05040284",1
"33","01013305",2
"33","05040281",3
"33","08031918",4
"33","05040186",5
"34","05040182",1
"34","10080301",2
"34","05030410",3
"34","08100907",4
"34","01085120",5
"35","01012515",1
"35","01017105",2
"35","01085020",3
"35","02650602",4
"35","02751210",5
"36","04060506",1
"36","05041187",2
"36","08010901",3
"36","01027835",4
"36","08133510",5
"37","01012905",1
"37","05041182",2
"37","05030403",3
"37","11040305",4
"37","05200401",5
"38","05040183",1
"38","05041195",2
"38","03090105",3
"38","06100308",4
"38","11060501",5
"39","05030615",1
"39","11080501",2
"39","01027805",3
"39","05200102",4
"39","08012010",5
"40","01201515",1
"40","12670115",2
"40","06100101",3
"40","01012515",4
"40","05041180",5
"41","05040184",1
"41","11100137",2
"41","01085105",3
"41","05120210",4
"41","04080214",5
"42","01012305",1
"42","01013305",2
"42","01027805",3
"42","01201515",4
"42","05200102",5
"43","02650302",1
"43","04060406",2
"43","14250510",3
"43","01026605",4
"43","01201005",5
"44","04201010",1
"44","01012910",2
"44","01012905",3
"44","05030415",4
"44","11103315",5
"45","05041180",1
"45","11040305",2
"45","01012305",3
